city,county,state,country,cases,deaths,recovered,tested,active,population,lat,long,url,aggregate,rating,tz,featureId
,,,AFG,110,4,,,,34124811,33.93013936,67.68954228,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Asia/Kabul,0
,,,ALB,197,10,,,,3047987,41.1124529,20.15435592,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Europe/Tirane,1
,,,DZA,454,29,,,,40969443,28.03233938,1.643237752,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Africa/Algiers,2
,,,AND,308,3,,,,85702,42.51501587,1.568151896,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Europe/Andorra,3
,,,AGO,5,0,,,,29310273,-11.21130422,17.89885628,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Africa/Luanda,4
,,,ATG,7,0,,,,94731,17.09865957,-61.78465736,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,America/Antigua,5
,,,ARG,690,18,,,,44293293,-38.42173075,-63.62665422,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,America/Argentina/Salta,6
,,,ARM,407,1,,,,3045191,40.07707682,45.01914311,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Asia/Yerevan,7
,,,AUT,8271,68,,,,8754413,47.71313528,13.33474634,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Europe/Vienna,8
,,,AZE,182,4,,,,9961396,40.14320974,47.50227482,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Asia/Baku,9
,,,BHS,10,0,,,,329988,23.9156315,-75.74170393,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,America/Nassau,10
,,,BHR,476,4,,,,1410942,26.02440013,50.53386478,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Asia/Bahrain,11
,,,BGD,48,5,,,,157826578,23.73811778,90.33232039,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Asia/Dhaka,12
,,,BRB,26,0,,,,292336,13.18988679,-59.54055742,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,America/Barbados,13
,,,BLR,94,0,,,,9549747,53.72384074,27.94258854,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Europe/Minsk,14
,,,BEL,9134,353,,,,11491346,50.49042053,4.429765747,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Europe/Brussels,15
,,,BEN,6,0,,,,11038805,9.306569115,2.303094116,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Africa/Porto-Novo,16
,,,BTN,3,0,,,,758288,27.51818048,90.40745793,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Asia/Thimphu,17
,,,BOL,74,0,,,,11138234,-16.28693756,-63.58694088,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,America/La_Paz,18
,,,BIH,258,5,,,,3856181,43.91899994,17.66809941,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Europe/Sarajevo,19
,,,BRA,3904,111,,,,207353391,-14.23672557,-54.38839291,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,America/Cuiaba,20
,,,BRN,120,1,,,,443593,4.510995487,114.6615754,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Asia/Brunei,21
,,,BGR,331,7,,,,7101510,42.7339153,25.47427474,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Europe/Sofia,22
,,,BFA,207,11,,,,20107509,12.23080495,-1.56620459,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Africa/Ouagadougou,23
,,,CPV,5,1,,,,560899,16.0660668,-23.99946042,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Atlantic/Cape_Verde,24
,,,KHM,99,0,,,,16204486,12.5621227,104.9675769,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Asia/Phnom_Penh,25
,,,CMR,91,2,,,,24994885,7.407972718,12.35086043,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Africa/Douala,26
,,,CAF,3,0,,,,5625118,6.618641053,20.91950301,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Africa/Bangui,27
,,,TCD,3,0,,,,12075985,15.45135773,18.71679508,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,Africa/Ndjamena,28
,,,CHL,1909,6,,,,17789267,-36.56706246,-71.36049374,https://github.com/CSSEGISandData/COVID-19,country,0.470588235,America/Santiago,29
,,Anhui,CHN,990,6,,,,63240000,32.02378205,117.2581712,https://github.com/CSSEGISandData/COVID-19,state,0.509803922,Asia/Shanghai,30
,,Beijing,CHN,573,8,,,,21540000,40.23657532,116.4278085,https://github.com/CSSEGISandData/COVID-19,state,0.509803922,Asia/Shanghai,31
,,Chongqing,CHN,578,6,,,,31020000,30.19871257,107.7329645,https://github.com/CSSEGISandData/COVID-19,state,0.509803922,Asia/Shanghai,32
,,Fujian,CHN,337,1,,,,39410000,25.97115964,118.1322771,https://github.com/CSSEGISandData/COVID-19,state,0.509803922,Asia/Shanghai,33
,,Gansu,CHN,136,2,,,,26370000,37.69770367,100.7380426,https://github.com/CSSEGISandData/COVID-19,state,0.509803922,Asia/Shanghai,34
,,Guangdong,CHN,1467,8,,,,113460000,22.87678376,113.4179235,https://github.com/CSSEGISandData/COVID-19,state,0.509803922,Asia/Shanghai,35
,,Guangxi,CHN,254,2,,,,49260000,23.89994925,108.2709678,https://github.com/CSSEGISandData/COVID-19,state,0.509803922,Asia/Shanghai,36
,,Guizhou,CHN,146,2,,,,36000000,26.9387436,106.6012765,https://github.com/CSSEGISandData/COVID-19,state,0.509803922,Asia/Shanghai,37
,,Hainan,CHN,168,6,,,,9340000,19.15076325,109.8128768,https://github.com/CSSEGISandData/COVID-19,state,0.509803922,Asia/Shanghai,38
,,Hebei,CHN,319,6,,,,75560000,39.32382742,116.6520614,https://github.com/CSSEGISandData/COVID-19,state,0.509803922,Asia/Shanghai,39
,,Heilongjiang,CHN,484,13,,,,37730000,48.50194977,127.9732532,https://github.com/CSSEGISandData/COVID-19,state,0.509803922,Asia/Shanghai,40
,,Henan,CHN,1275,22,,,,96050000,33.87707978,113.4844222,https://github.com/CSSEGISandData/COVID-19,state,0.509803922,Asia/Shanghai,41
,,,HKG,561,4,,,,7191503,22.41313304,114.2102157,https://github.com/CSSEGISandData/COVID-19,state,0.509803922,Asia/Hong_Kong,42
,,Hubei,CHN,67801,3177,,,,59170000,31.16640544,112.2639283,https://github.com/CSSEGISandData/COVID-19,state,0.509803922,Asia/Shanghai,43
,,Hunan,CHN,1018,4,,,,68990000,27.36941498,111.5090906,https://github.com/CSSEGISandData/COVID-19,state,0.509803922,Asia/Shanghai,44
,,Inner Mongolia,CHN,94,1,,,,25000034,45.35383135,111.6234722,https://github.com/CSSEGISandData/COVID-19,state,0.509803922,Asia/Ulaanbaatar,45
,,Jiangsu,CHN,641,0,,,,80510000,32.93481171,119.1496372,https://github.com/CSSEGISandData/COVID-19,state,0.509803922,Asia/Shanghai,46
,,Jiangxi,CHN,936,1,,,,46480000,27.27513133,116.0191771,https://github.com/CSSEGISandData/COVID-19,state,0.509803922,Asia/Shanghai,47
,,Jilin,CHN,97,1,,,,27040000,43.56576924,126.4736548,https://github.com/CSSEGISandData/COVID-19,state,0.509803922,Asia/Shanghai,48
,,Liaoning,CHN,132,2,,,,43590000,41.09091391,122.3105502,https://github.com/CSSEGISandData/COVID-19,state,0.509803922,Asia/Shanghai,49
,,,MAC,37,0,,,,601969,22.13420238,113.5505884,https://github.com/CSSEGISandData/COVID-19,state,0.509803922,Asia/Macau,50
,,Ningxia,CHN,75,0,,,,6880000,37.31081076,106.0080827,https://github.com/CSSEGISandData/COVID-19,state,0.509803922,Asia/Shanghai,51
,,Qinghai,CHN,18,0,,,,6030000,35.43499502,96.23774885,https://github.com/CSSEGISandData/COVID-19,state,0.509803922,Asia/Shanghai,52
,,Shaanxi,CHN,253,3,,,,38640000,35.63509909,108.3617117,https://github.com/CSSEGISandData/COVID-19,state,0.509803922,Asia/Shanghai,53
,,Shandong,CHN,772,7,,,,100470000,36.33507594,118.7451542,https://github.com/CSSEGISandData/COVID-19,state,0.509803922,Asia/Shanghai,54
,,Shanghai,CHN,485,5,,,,24240000,31.26615855,121.4315372,https://github.com/CSSEGISandData/COVID-19,state,0.509803922,Asia/Shanghai,55
